window,spec,train_start,test_start,test_end,loglik,aic,bic,n_params,converged,mu0,sigma0,nu0,mu1,sigma1,nu1,beta1_0,beta2_0,beta1_1,beta2_1,lr_stat,lr_p,beta1_2,beta2_2
11,tvtp_logrv,2016-10-29,2020-10-28,2021-01-26,2861.4375601578968,-5702.8751203157935,-5650.01320316877,10,True,0.0032919772778114012,0.05305260144978383,6.37425260889333,0.0022417199531979564,0.08740926393151341,2.0500001902013887,3.2656286122775526,3.8357770072679807,1.0967463213160074,-1.0789985632714456,6.335086806027903,0.04210691066240792,,
11,tvtp_exflow,2016-10-29,2020-10-28,2021-01-26,2862.1726043100934,-5704.345208620187,-5651.483291473163,10,True,0.003670154040125201,0.0534685936728789,6.581151184752218,0.002130323961110091,0.08848025540661197,2.050000160493586,4.1854619469290055,4.851144874391774,0.49658564435732255,-0.8418657855957821,7.80517511042126,0.020189602088231253,,
11,tvtp_both,2016-10-29,2020-10-28,2021-01-26,2864.6590561610933,-5705.318112322187,-5641.883811745758,12,True,0.002687770525160845,0.053098517417183584,2.1296764370426007,0.00177750397114618,0.05484936133846936,9.028472328938168,1.7427487905717116,1.189860478290668,-1.1410434640037248,1.839421390785741,12.778078812420972,0.012412618965492724,-0.023839832131037724,1.6764198905675647
12,baseline,2017-01-28,2021-01-27,2021-04-27,2809.9652254591947,-5603.930450918389,-5561.640917200771,8,True,0.001877497853972991,0.04825933589363033,2.1816144590505693,0.004218604833598682,0.05338566897703132,5.1103475423937414,4.1848635528164175,4.259337977249174,,,,,,
12,tvtp_logrv,2017-01-28,2021-01-27,2021-04-27,2816.0191170683606,-5612.038234136721,-5559.176316989698,10,True,0.002490894276590434,0.03277118592407165,2.340393752277986,0.0029260380455810972,0.0538806899428535,10.812226934263661,0.7570579984392817,0.23347658304016494,-0.9611324992192267,2.042395493274141,12.10778321833186,0.0023487039604197157,,
12,tvtp_exflow,2017-01-28,2021-01-27,2021-04-27,2813.582491707678,-5607.164983415356,-5554.303066268332,10,True,0.004574760396341207,0.05276377544787493,6.738625639360448,0.0018008541767509292,0.07096642610514288,2.084611856551493,4.256448353200923,4.726307945367938,0.3613780352177342,-0.8226470145374112,7.234532496966494,0.02685599384517367,,
12,tvtp_both,2017-01-28,2021-01-27,2021-04-27,2817.489544865432,-5610.979089730864,-5547.544789154435,12,True,0.0025375878341485306,0.029777002137374012,2.4033640831318497,0.002933315628239892,0.05371892874506367,10.524149853739377,0.6000301683647612,0.21451331770628487,-0.8938344571070641,2.0034950971952954,15.048638812474564,0.0046013928800993295,-0.42885502353314586,0.06671149014469228
13,baseline,2017-04-29,2021-04-28,2021-07-27,2780.436847791724,-5544.873695583448,-5502.58416186583,8,True,0.004910613941371521,0.05257889674886238,4.743341063244083,0.0009871061739939442,0.05394032012432926,2.149941046152347,4.701770816361938,4.470599504208956,,,,,,
13,tvtp_logrv,2017-04-29,2021-04-28,2021-07-27,2785.2878804248694,-5550.575760849739,-5497.713843702715,10,True,0.005120147180578992,0.051247422970743715,5.730406280274792,0.000981255863342012,0.09208989989524638,2.0500001624238027,4.04119390375827,4.2486128416054925,1.187041351041416,-1.7150958946292534,9.702065266290447,0.007820297879480473,,
13,tvtp_exflow,2017-04-29,2021-04-28,2021-07-27,2783.3459216670853,-5546.691843334171,-5493.829926187147,10,True,0.005552674385520721,0.05187207625681179,5.815852081269146,0.0008616944151957932,0.08285419302794615,2.0651549723884144,4.847982333839479,5.230343440648301,0.4348747736085518,-0.8613768285240743,5.818147750722346,0.054526204554156785,,
