window,spec,train_start,test_start,test_end,loglik,aic,bic,n_params,converged,mu0,sigma0,mu1,sigma1,beta1_0,beta2_0,beta1_1,beta2_1,lr_stat,lr_p,beta1_2,beta2_2
15,tvtp_both,2017-10-28,2021-10-27,2022-01-25,2770.6236716550216,-5521.247343310043,-5468.3854261630195,10,True,0.0019083152802171403,0.015309064288354797,0.0013138339653101115,0.05756614641844523,0.07152616470987945,-0.02277760913236367,-0.9220175823685702,1.203878213089535,82.56251595981757,4.987987466554554e-17,-0.19277907183449391,0.17062033034074792
16,baseline,2018-01-27,2022-01-26,2022-04-26,2802.462190819408,-5592.924381638816,-5561.207231350601,6,True,0.0019020757149138595,0.018021663633542736,-0.0006812838285239015,0.058304673970115115,1.133781424325924,0.6529268307947893,,,,,,
16,tvtp_logrv,2018-01-27,2022-01-26,2022-04-26,2839.5215075955175,-5663.043015191035,-5620.753481473416,8,True,0.001580258114508223,0.015482925517247198,1.57112877081364e-06,0.05569000690528978,0.16209506925693407,-0.25599598170988197,-0.825369468022306,1.2476658063114616,74.11863355221885,8.041613963624975e-17,,
16,tvtp_exflow,2018-01-27,2022-01-26,2022-04-26,2804.2174336667786,-5592.434867333557,-5550.145333615938,8,True,0.0019135436928343192,0.018306956197072722,-0.0007495785717379679,0.058688969571877345,1.1371393909065166,0.6099303910930827,-0.31277756556299013,0.09987380469830547,3.5104856947409644,0.17286525732076474,,
16,tvtp_both,2018-01-27,2022-01-26,2022-04-26,2841.45860827418,-5662.91721654836,-5610.055299401336,10,True,0.0015979943644360852,0.015180778339549091,1.2174909272441146e-05,0.05530402805494869,0.06555150102870663,-0.206500026459265,-0.8719997838474804,1.1668142403566206,77.99283490954349,4.635452957053555e-16,-0.27237416207180193,0.12609243938064646
17,baseline,2018-04-28,2022-04-27,2022-07-26,2868.4720877953805,-5724.944175590761,-5693.227025302546,6,True,0.0018849670628714335,0.01803473318017507,-0.0005157354139817567,0.05834282713438669,1.0477397109375062,0.2571614648928135,,,,,,
17,tvtp_logrv,2018-04-28,2022-04-27,2022-07-26,2895.5389299012477,-5775.077859802495,-5732.788326084877,8,True,0.0016201915620704145,0.01608144278851341,0.00015525096216445172,0.05552941796337293,0.3537456243299329,-0.49618544454525687,-0.6415864586393318,1.14082790174989,54.13368421173436,1.7580038865878482e-12,,
17,tvtp_exflow,2018-04-28,2022-04-27,2022-07-26,2871.0937133497287,-5726.187426699457,-5683.897892981839,8,True,0.001918535438442346,0.018159916973532433,-0.0005952256070382185,0.05851785162521143,1.0280847020953447,0.1910286507004726,-0.24605867228272424,0.20597495217232156,5.243251108696313,0.07268461395323268,,
17,tvtp_both,2018-04-28,2022-04-27,2022-07-26,2897.7246753198638,-5775.4493506397275,-5722.587433492704,10,True,0.0016539701720894714,0.01576313570856551,0.000136595256724369,0.05504047190339645,0.27157627129395495,-0.4206587772419002,-0.6854046046944526,1.0394088821895617,58.50517504896652,5.977577049952002e-12,-0.2599955597231734,0.1510966024598501
18,baseline,2018-07-28,2022-07-27,2022-10-25,2847.525877880597,-5683.051755761194,-5651.334605472979,6,True,0.0017637226603160476,0.018696110604981872,-0.0012892948473641269,0.05948340745231292,1.0842486191944063,0.23658495956377568,,,,,,
18,tvtp_logrv,2018-07-28,2022-07-27,2022-10-25,2876.0152051946066,-5736.030410389213,-5693.740876671594,8,True,0.0015846580334704001,0.01665305832662714,-0.0006211115471113531,0.05654839458638973,0.36203873916677676,-0.5487625785934174,-0.6907490128848357,1.1205142479163575,56.978654628019285,4.2387944242624424e-13,,
18,tvtp_exflow,2018-07-28,2022-07-27,2022-10-25,2849.4820138098994,-5682.964027619799,-5640.67449390218,8,True,0.0017868041675020527,0.018993392828623737,-0.001386002747945612,0.05979362144784773,1.1241529766483942,0.2290077077624317,-0.24219322916252603,0.18393124132128888,3.9122718586049814,0.14140376075511912,,
18,tvtp_both,2018-07-28,2022-07-27,2022-10-25,2877.5711888767246,-5735.142377753449,-5682.280460606426,10,True,0.0016046180750597966,0.016403913063616552,-0.0005974445494568958,0.056078161215157546,0.30174481725696145,-0.48439004492183646,-0.7157590804556739,1.0799160823394844,60.090621992255365,2.7764077119496423e-12,-0.2634281275204776,0.1013501937902286
19,baseline,2018-10-27,2022-10-26,2023-01-24,2844.0294275743554,-5676.058855148711,-5644.341704860496,6,True,0.0015405590896901866,0.019118393317784223,-0.00063487255719107,0.06076142259679965,1.111134501847705,0.146144675080722,,,,,,
19,tvtp_logrv,2018-10-27,2022-10-26,2023-01-24,2872.6043077621125,-5729.208615524225,-5686.919081806606,8,True,0.0014293805833830754,0.017729553305373697,-0.00023957109915990604,0.05862332368861705,0.4871917612291393,-0.8849133547210556,-0.7001818394614712,1.285371235915966,57.149760375514234,3.891232794455114e-13,,
19,tvtp_exflow,2018-10-27,2022-10-26,2023-01-24,2845.341218100135,-5674.68243620027,-5632.392902482651,8,True,0.0015380974256010637,0.01927937304075766,-0.0006500671151242193,0.060911965277344514,1.1247309370545147,0.1344114131171994,-0.2144488343795102,0.12595100171890888,2.6235810515590856,0.2693373688790608,,
